,Learners,Learn rate,Depth,F1 Macro Score
111,5.0,31.0,9.0,0.6696068341541772
112,5.0,33.0,3.0,0.5520892812540494
113,5.0,33.0,4.0,0.5961580002311785
114,5.0,33.0,5.0,0.6257575636728043
115,5.0,33.0,6.0,0.6583662193825532
116,5.0,33.0,7.0,0.6695860309965764
117,5.0,33.0,8.0,0.655620866424788
118,5.0,33.0,9.0,0.6628575840175776
119,5.0,35.0,3.0,0.5711346491800985
120,5.0,35.0,4.0,0.580242395092397
121,5.0,35.0,5.0,0.6460946027785923
122,5.0,35.0,6.0,0.6528353399928756
123,5.0,35.0,7.0,0.6836983402474593
124,5.0,35.0,8.0,0.6555503027295504
125,5.0,35.0,9.0,0.6672036440131064
126,5.0,37.0,3.0,0.5991372106114853
127,5.0,37.0,4.0,0.6301838772221169
128,5.0,37.0,5.0,0.6258973406870673
129,5.0,37.0,6.0,0.6345057640830895
130,5.0,37.0,7.0,0.6515396073183568
131,5.0,37.0,8.0,0.6477148966804918
132,5.0,37.0,9.0,0.6704033368951543
133,5.0,39.0,3.0,0.5947479664030009
134,5.0,39.0,4.0,0.5890986659425417
135,5.0,39.0,5.0,0.6354136426209602
136,5.0,39.0,6.0,0.6480188256105294
137,5.0,39.0,7.0,0.655195033757741
138,5.0,39.0,8.0,0.6534347287410415
139,5.0,39.0,9.0,0.6674489591406119
140,5.0,41.0,3.0,0.5811329490712722
141,5.0,41.0,4.0,0.6155720061463968
142,5.0,41.0,5.0,0.6309940105522633
143,5.0,41.0,6.0,0.6249122469907172
144,5.0,41.0,7.0,0.6360123964203619
145,5.0,41.0,8.0,0.6745527581538107
146,5.0,41.0,9.0,0.6679437702758648
147,5.0,43.0,3.0,0.5534841180823697
148,5.0,43.0,4.0,0.6140980395286363
149,5.0,43.0,5.0,0.6414109116265264
150,5.0,43.0,6.0,0.6566540992875717
151,5.0,43.0,7.0,0.6530477965690702
152,5.0,43.0,8.0,0.6538417029200312
153,5.0,43.0,9.0,0.6666881836400219
154,5.0,45.0,3.0,0.568020095070514
155,5.0,45.0,4.0,0.6195036790155823
156,5.0,45.0,5.0,0.6400788420547862
157,5.0,45.0,6.0,0.642896727399692
158,5.0,45.0,7.0,0.660695993439619
159,5.0,45.0,8.0,0.6596364762881425
160,5.0,45.0,9.0,0.6641827520591412
161,5.0,47.0,3.0,0.5694442562908751
162,5.0,47.0,4.0,0.5827307583896116
163,5.0,47.0,5.0,0.6283940326575921
164,5.0,47.0,6.0,0.6599655002328358
165,5.0,47.0,7.0,0.6703912426332141
166,5.0,47.0,8.0,0.6569343241891736
167,5.0,47.0,9.0,0.6794462245367647
168,5.0,49.0,3.0,0.5787546438206068
169,5.0,49.0,4.0,0.6097234741966385
170,5.0,49.0,5.0,0.618911380304482
171,5.0,49.0,6.0,0.6329522456752387
172,5.0,49.0,7.0,0.6576571832713889
173,5.0,49.0,8.0,0.6580170935341976
174,5.0,49.0,9.0,0.7015357372577449
175,6.0,1.0,3.0,0.28393285746582314
176,6.0,1.0,4.0,0.34641828815549747
177,6.0,1.0,5.0,0.36458281996001857
178,6.0,1.0,6.0,0.4253360418839014
179,6.0,1.0,7.0,0.4443919614459085
180,6.0,1.0,8.0,0.4417604634184079
181,6.0,1.0,9.0,0.4541669194291818
182,6.0,3.0,3.0,0.40316769827819776
183,6.0,3.0,4.0,0.43516352027493993
184,6.0,3.0,5.0,0.4269425102299298
185,6.0,3.0,6.0,0.46247519396739645
186,6.0,3.0,7.0,0.48766966856437355
187,6.0,3.0,8.0,0.5090797908936355
188,6.0,3.0,9.0,0.5004778039960076
189,6.0,5.0,3.0,0.5195054017572248
190,6.0,5.0,4.0,0.5264984355177524
191,6.0,5.0,5.0,0.5588186230123078
192,6.0,5.0,6.0,0.5871142824609168
193,6.0,5.0,7.0,0.5913583044398482
